epoch,slot,active_count,active_eth,entry_queue_count,entry_queue_eth,exit_queue_count,exit_queue_eth,Churn_limit_validators,Churn_limit_eth_est,activations,newly_queued_entries,newly_queued_exits,newly_queued_cum_exits
386389,12364461,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364462,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364463,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364464,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364465,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364466,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364467,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364468,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364469,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364470,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364471,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364472,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364473,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364474,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364475,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364476,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364477,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364478,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386389,12364479,1062873,34988419,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386390,12364480,1062881,34988675,48,1536,22440,728208,8,256.0,256.0,256.0,0.0,0.0
386390,12364481,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364482,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364483,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364484,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364485,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364486,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364487,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364488,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364489,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364490,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364491,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364492,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364493,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364494,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364495,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364496,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364497,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364498,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364499,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364500,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364501,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364502,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364503,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364504,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364505,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364506,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364507,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364508,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364509,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364510,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386390,12364511,1062881,34988675,48,1536,22440,728208,8,256.0,0.0,0.0,0.0,0.0
386391,12364512,1062889,34988931,48,1536,22432,727952,8,256.0,256.0,256.0,0.0,0.0
386391,12364513,1062889,34988931,48,1536,22432,727952,8,256.0,0.0,0.0,0.0,0.0
386391,12364514,1062889,34988931,48,1536,22432,727952,8,256.0,0.0,0.0,0.0,0.0
386391,12364515,1062889,34988931,48,1536,22432,727952,8,256.0,0.0,0.0,0.0,0.0
386391,12364516,1062889,34988931,48,1536,22432,727952,8,256.0,0.0,0.0,0.0,0.0
386391,12364517,1062889,34988931,48,1536,22432,727952,8,256.0,0.0,0.0,0.0,0.0
386391,12364518,1062889,34988931,48,1536,22432,727952,8,256.0,0.0,0.0,0.0,0.0
386391,12364519,1062889,34988931,48,1536,22432,727952,8,256.0,0.0,0.0,0.0,0.0
386391,12364520,1062889,34988931,48,1536,22432,727952,8,256.0,0.0,0.0,0.0,0.0
386391,12364521,1062889,34988931,48,1536,22432,727952,8,256.0,0.0,0.0,0.0,0.0
386391,12364522,1062889,34988931,48,1536,22432,727952,8,256.0,0.0,0.0,0.0,0.0
386391,12364523,1062889,34988931,48,1536,22432,727952,8,256.0,0.0,0.0,0.0,0.0
386391,12364524,1062889,34988931,48,1536,22432,727952,8,256.0,0.0,0.0,0.0,0.0
386391,12364525,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,64.0,64.0
386391,12364526,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364527,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364528,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364529,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364530,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364531,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364532,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364533,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364534,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364535,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364536,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364537,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364538,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364539,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364540,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364541,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364542,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386391,12364543,1062887,34988867,48,1536,22434,728016,8,256.0,0.0,0.0,0.0,0.0
386392,12364544,1062895,34989123,48,1536,22426,727760,8,256.0,256.0,256.0,0.0,0.0
386392,12364545,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364546,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364547,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364548,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364549,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364550,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364551,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364552,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364553,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364554,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364555,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364556,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364557,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364558,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364559,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364560,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364561,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364562,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364563,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364564,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364565,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364566,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364567,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364568,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
386392,12364569,1062895,34989123,48,1536,22426,727760,8,256.0,0.0,0.0,0.0,0.0
